강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 전국
기간 : 2021~2025 01~12

년월,지점,강수량(mm)
2021-01,전국,19.9
2021-02,전국,20.1
2021-03,전국,110.7
2021-04,전국,76.3
2021-05,전국,143.8
2021-06,전국,91.6
2021-07,전국,233.8
2021-08,전국,288.4
2021-09,전국,145.8
2021-10,전국,53.9
2021-11,전국,58
2021-12,전국,7.2
2022-01,전국,2.6
2022-02,전국,3.5
2022-03,전국,89.4
2022-04,전국,59.4
2022-05,전국,5.8
2022-06,전국,184.7
2022-07,전국,178.4
2022-08,전국,311.5
2022-09,전국,150.8
2022-10,전국,77.6
2022-11,전국,61.6
2022-12,전국,15.2
2023-01,전국,40.5
2023-02,전국,15.2
2023-03,전국,28.7
2023-04,전국,66.3
2023-05,전국,193.4
2023-06,전국,210
2023-07,전국,506.1
2023-08,전국,299.6
2023-09,전국,197.3
2023-10,전국,17
2023-11,전국,63.4
2023-12,전국,102.9
2024-01,전국,31.9
2024-02,전국,103.3
2024-03,전국,64.7
2024-04,전국,80.4
2024-05,전국,117.6
2024-06,전국,130.5
2024-07,전국,380.8
2024-08,전국,87.3
2024-09,전국,241
2024-10,전국,115.8
2024-11,전국,59.6
2024-12,전국,6.5
2025-01,전국,16.9
2025-02,전국,15.7
2025-03,전국,48.3
2025-04,전국,67.3
2025-05,전국,117.3
2025-06,전국,184.7
2025-07,전국,247.6
2025-08,전국,187.2
2025-09,전국,228.8
2025-10,전국,173.3
2025-11,전국,20.1
2025-12,전국,24.1
